기관인증,훈련기관명,주소요약,훈련과정명,훈련시작일자,훈련종료일자,훈련비,자비부담금,링크,NCS 직무분류_이름,NCS 직무분류_코드,온라인 여부
훈련기관 3년 인증,러닝팩토리 원격평생교육원,서울 서초구,[전사원 UP!] 빅데이터로 관통하는 4차산업의 미래,20240313,20240412,129360,45280,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000939602&tracseTme=77&crseTracseSe=C0031&trainstCstmrId=500020035790#undefined,빅데이터기획,20010107,온라인
우수훈련기관 5년 인증,더조은컴퓨터아카데미 종로,서울 종로구,자바(JAVA)프로그래밍 입문+챗GPT,20240311,20240415,397200,178740,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000436112&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020018050#undefined,응용SW엔지니어링,20010202,오프라인
,패스트캠퍼스강남학원,서울 강남구,패스트캠퍼스 UXUI 디자인 부트캠프,20240311,20240927,15972000,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000455753&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500033945638#undefined,UI/UX엔지니어링,20010207,오프라인
우수훈련기관 5년 인증,하이미디어IT인재개발학원,경기 성남시 중원구,JAVA와 AI/RPA/빅데이터를 활용한 E-커머스개발자 양성 취업과정,20240311,20240902,9097920,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20220000366827&tracseTme=8&crseTracseSe=C0061&trainstCstmrId=500020013370#undefined,응용SW엔지니어링,20010202,오프라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,보통 직장인을 위한 데이터 분석,20240313,20240411,56430,19760,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000939829&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,빅데이터기획,20010107,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,탈중앙화 글로벌 금융 네트워크(비트코인)의 이해,20240313,20240411,100980,35350,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000975414&tracseTme=56&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,핀테크기술기획,20010108,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,보통 직장인을 위한 데이터 분석,20240313,20240411,79420,27800,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000964259&tracseTme=79&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,빅데이터기획,20010107,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,챗GPT가 바꾸는 비즈니스의 미래,20240311,20240410,92070,50640,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000986105&tracseTme=6&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,인공지능서비스기획,20010702,온라인
훈련기관 3년 인증,케이스원격평생교육원 ,서울 구로구,스마트워크 시대! ON 정보 보호 가이드,20240311,20240409,129580,45360,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000905340&tracseTme=230&crseTracseSe=C0031&trainstCstmrId=500020050628#undefined,정보보호관리·운영,20010601,온라인
우수훈련기관 5년 인증,동성인재개발교육원,부산 부산진구,"AI기반 스마트융합(JAVA, PYTHON) 풀스택 개발자 양성",20240311,20240829,9287460,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000455673&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020041918#undefined,응용SW엔지니어링,20010202,오프라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,빅데이터의 개념이해와 분석역량강화,20240313,20240411,59400,20790,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000964991&tracseTme=105&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,빅데이터분석,20010105,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,AItopia - 인공지능이 만들어갈 세상,20240311,20240410,62370,34310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000937575&tracseTme=139&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,인공지능플랫폼구축,20010701,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,빅데이터의 개념이해와 분석역량강화,20240313,20240411,59400,20790,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000963127&tracseTme=44&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,빅데이터분석,20010105,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,블록체인을 통한 Business Insight,20240311,20240410,79420,43690,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000958000&tracseTme=39&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,블록체인구축·운영,20010802,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,인공지능 기초기술 현장적용 가이드,20240311,20240410,62370,34310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000973182&tracseTme=6&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,인공지능모델링,20010703,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,[ITⓔ코칭] Oracle로 배우는 실전 데이터관리,20240313,20240411,50490,22730,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000950090&tracseTme=154&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,응용SW엔지니어링,20010202,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,"디지털 트랜스포메이션의 핵심 인공지능, 쉽게 이해하기",20240311,20240410,190960,105030,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000958034&tracseTme=39&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,인공지능서비스기획,20010702,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,[상위1% 빅데이터 ] 기업이 주목하는 Hadoop 제대로 배우기,20240313,20240411,62370,34310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943892&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,빅데이터운영·관리,20010304,온라인
,(주)엘리스그룹,서울 강남구,Python 데이터 분석가의 시작! 넷플릭스 데이터 분석,20240325,20240503,99000,9900,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000455812&tracseTme=5&crseTracseSe=C0105&trainstCstmrId=500038398274#undefined,빅데이터분석,20010105,온라인
훈련기관 3년 인증,(주)이패스코리아,서울 영등포구,4차 산업혁명 시대의 새로운 비즈니스 모델,20240314,20240412,50490,17680,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000948887&tracseTme=147&crseTracseSe=C0031&trainstCstmrId=500020051943#undefined,정보기술컨설팅,20010102,온라인
훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,NFT 만들며 배우는 블록체인과 웹3 기초,20240313,20240411,62370,21830,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943748&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,정보기술기획,20010103,온라인
훈련기관 1년 인증,주식회사스마트동스쿨,서울 마포구,다양한 산업별 실무사례와 함께 배우는 사물인터넷 기술,20240311,20240410,129360,72310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000935838&tracseTme=143&crseTracseSe=C0031&trainstCstmrId=500020049047#undefined,IoT융합서비스기획,20010106,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,"데이터의 힘, 보건·의료 빅데이터",20240313,20240411,47520,16640,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000965006&tracseTme=105&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,빅데이터분석,20010105,온라인
,(주)엘리스그룹,서울 강남구,3가지 게임 만들기로 배우는 파이썬 기초반,20240325,20240503,249000,24900,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20220000409529&tracseTme=39&crseTracseSe=C0105&trainstCstmrId=500038398274#undefined,응용SW엔지니어링,20010202,온라인
훈련기관 3년 인증,러닝팩토리 원격평생교육원,서울 서초구,"비전공자를 위한 IT 부트캠프, IT의 정석",20240313,20240412,47520,16640,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000972530&tracseTme=28&crseTracseSe=C0031&trainstCstmrId=500020035790#undefined,정보기술컨설팅,20010102,온라인
우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,랜섬웨어 예방 및 사이버 보안의 첫 걸음 - 전사원을 교육하라,20240313,20240411,50490,17680,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000986111&tracseTme=7&crseTracseSe=C0031&trainstCstmrId=500020034527#undefined,정보보호관리·운영,20010601,온라인
,러닝핏,서울 강서구,Django/React 활용 풀스택 완전정복,20240313,20240411,358160,35820,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20220000409543&tracseTme=379&crseTracseSe=C0105&trainstCstmrId=500020055611#undefined,응용SW엔지니어링,20010202,온라인
훈련기관 3년 인증,케이스원격평생교육원 ,서울 구로구,"혁신의 시대, 인공지능 서비스로 미래의 중심에 서다!",20240311,20240409,129580,71270,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000905305&tracseTme=227&crseTracseSe=C0031&trainstCstmrId=500020050628#undefined,인공지능서비스기획,20010702,온라인
훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,"비전공자를 위한 IT 부트캠프, IT의 정석",20240311,20240410,47520,16640,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000963742&tracseTme=76&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,정보기술컨설팅,20010102,온라인
