NCS 기준,워크넷 기준(직업정보 찾기),직업설명(하는일),자격증
기타 컴퓨터 전문가 및 소프트웨어 전문가,IT테스터 및 QA전문가(SW테스터),"소프트웨어 등 IT제품의 출시에 앞서 테스트하여 문제점, 보완점 등을 평가하거나 출시 제품의 품질에 대한 관리한다.","SW테스트 전문가[Certified Software Test Specialist](국가공인 민간)
국제소프트웨어테스팅자격(International Software Testing Qualifications Board)
정보처리기능사, 산업기사, 기사(국가기술)"
로봇공학 기술자 및 연구원,로봇공학기술자,"로봇의 구성요소 및 주변장치, 툴 등을 설계·제작하고 시험평가 결과를 반영하여 로봇기구를 개발한다.","기계설계산업기사, 기사, 기술사(국가기술)
메카트로닉스산업기사, 기사(국가기술)
항공정비사(국가전문)"
통신공학 기술자 및 연구원,통신기기·장비기술자,전기·전자기기에 관한 지식을 활용하여 민간용·산업용 무전기기를 설계·제작한다.,"RFID관리사(국가공인 민간)
무선설비기능사, 산업기사, 기사(국가기술)
전자응용기술사(국가기술)
전파통신기능사, 산업기사, 기사(국가기술)
정보통신산업기사, 기사, 기술사(국가기술)"
통신공학 기술자 및 연구원,통신기술개발자,"통신에 관한 지식을 이용하여 통신방법, 통신망 설계와 구현을 연구·개발한다.","무선설비기능사, 산업기사, 기사(국가기술)
전자응용기술사(국가기술)
전파통신기능사, 산업기사, 기사(국가기술)
정보통신산업기사, 기사, 기술사(국가기술)"
통신공학 기술자 및 연구원,통신망운영기술자,"통신망의 병목현상을 해소하고, 통화 완료율 향상 및 기존망 효율 극대화 등을 위해 연구·개발한다.","무선설비기능사, 산업기사, 기사(국가기술)
전자응용기술사(국가기술)
전파통신기능사, 산업기사, 기사(국가기술)
정보통신산업기사, 기사, 기술사(국가기술)"
방송·통신·인터넷 케이블 설치·수리원,방송·통신·인터넷케이블 설치·수리원,"전화선, 광케이블 등 통신망에 기초가 되는 통신선을 설치·수리한다.","무선설비기능사, 산업기사, 기사(국가기술)
방송통신기능사, 산업기사, 기사(국가기술)
정보통신산업기사, 기사(국가기술)
통신기기기능사(국가기술)
통신선로기능사, 산업기사(국가기술)"
통신·방송송출 장비 기사,통신장비기사,"무선중계기시스템, 유선통신장비·무선통신장비, 위성통신망 등의 장비를 관리하고 운용한다.","무선설비기능사, 산업기사, 기사(국가기술)
방송통신기능사, 산업기사, 기사(국가기술)"
,방송송출장비기사,"라디오, TV, 케이블 및 유선방송을 위해 제작·편성된 프로그램을 송출하고, 송수신 장비 및 설비를 관리운용한다.","무선설비기능사, 산업기사, 기사(국가기술)
방송통신기능사, 산업기사, 기사(국가기술)"
통신 기기·서비스 판매원,통신기기·서비스판매원,"이동통신, 인터넷 전화, IPTV, 인터넷 네트워크 서비스 등 유무선 통신서비스를 판매하거나 이동통신사와 이용자 간 계약체결을 위탁받아 대리한다. 일반적으로 이동전화기(스마트폰) 등의 통신단말기 판매를 병행한다.",텔레마케팅관리사(한국산업인력공단)
미디어 콘텐츠 디자이너,UX·UI디자이너,"UX/UI디자이너는 사용자의 니즈를 파악하고 통찰력을 발휘하여 제품의 전체적인 플로우를 디자인하고 서비스를 기획한다. UI디자이너는 사용자가 디지털 기기와 정보를 교환할 때, 작업할 수 있는 환경을 디자인한다.","서비스.경험디자인기사(국가기술)
시각디자인 산업기사, 기사(국가기술)
웹디자인기능사(국가기술)
컴퓨터그래픽운용기능사(국가기술)"
미디어 콘텐츠 디자이너,게임그래픽디자이너,"컴퓨터게임 등에 등장하는 각종 캐릭터와 배경, 아이템 등을 디자인한다.","게임그래픽전문가(국가기술)
웹디자인기능사(국가기술)
컴퓨터그래픽스운용기능사(국가기술)"
미디어 콘텐츠 디자이너,영상그래픽디자이너,"방송의 뉴스, 일기예보, 속보 등에 사용되는 글, 그림, 데이터, 문자 등을 디자인하고 송출한다.","시각디자인 산업기사, 기사(국가기술)
컴퓨터그래픽스운용기능사(국가기술)"
미디어 콘텐츠 디자이너,웹디자이너,"웹디자이너는 디자인의 기본 원리를 기반으로, 사용자가 용이하게 접근할 수 있는 환경을 고려해 웹의 구축 목적 및 내용을 웹사이트 상에 시각적으로 구현한다.","웹디자인기능사(국가기술)
컴퓨터그래픽스운용기능사(국가기술)"
방송장비 설치·수리원,방송장비설치·수리원,"라디오 및 TV, 케이블TV의 송수신 등에 필요한 방송장비를 설치·점검하고 유지·보수한다.","무선설비기능사, 산업기사, 기사(국가기술)
방송통신기능사, 산업기사, 기사(국가기술)
통신기기기능사(국가기술)
정보통신산업기사, 기사(국가기술)"
